question,option1,option2,option3,option4,year,level,shift,answer,topic,subtopic
"If $$\sec^{2} \alpha + 4\cos^{2} \alpha = 4$$ and $$0^{\circ} \leq \alpha \leq 90^{\circ}$$, then find the value of $$\alpha$$",$$45^{\circ}$$,$$60^{\circ}$$,$$30^{\circ}$$,$$0^{\circ}$$,2022,M,21st April Shift 3,A,Trigonometry,Trigonometric Ratios and Identities
"A reduction of 15% in the price of wheat enables a housewife to buy 6 kg more for ₹2,720. The reduced price of wheat per kg (in ₹) is:",68,75,65,70,2022,H,21st April Shift 3,A,Arithmetic,Profit & Loss
"The perimeters of two similar $$\triangle$$ ABC and $$\triangle$$ PQR are 48.4 cm and 12.1 cm, respectively. What is the ratio of the areas of $$\triangle$$ ABC and $$\triangle$$ PQR ?",16:01,01:16,04:01,01:04,2022,E,21st April Shift 3,A,Geometry,Congruence and Similarity of Triangles
The length of the shadow of a vertical tower on level ground increases by 8.4 cm when the altitude of the sun changes from $$45^{\circ}$$ to $$30^{\circ}$$. What is the height of the tower (in m)?,$$4.2\left(\sqrt{3}+1\right)$$,$$8.4\left(\sqrt{3}+3\right)$$,$$4.2\left(\sqrt{3}-1\right)$$,$$4.2\left(\sqrt{3}+3\right)$$,2022,M,21st April Shift 3,A,Trigonometry,Height & Distance
"The following pie charts show the number of students studying in different departments of an institute during the academic years 2019 and 2020. The total number of students was 2000 and 2400, respectively, in academic years 2019 and 2020.
What is the ratio of Commerce and Computer Science students taken together in 2019 to Engineering and Medical students taken together in 2020?
https://cracku.in/media/uploads/image_Eaoj9Vu.png  ",65:44:00,22:39,44 : 65,39:22:00,2022,H,21st April Shift 3,A,Data Interpretation,Pie Chart
"In $$\triangle$$ ABC , the perpendiculars drawn from A, B and C meet the opposite sides at points D, E and F, respectively. AD, BE and CF intersect at point P. If $$\angle EPD = 110^{\circ}$$ and the bisectors of $$\angle$$ A and $$\angle$$ B meet at point Q, then $$\angle$$ AQB?",$$125^{\circ}$$,$$135^{\circ}$$,$$110^{\circ}$$,$$115^{\circ}$$,2022,E,21st April Shift 2,A,Geometry,Congruence and Similarity of Triangles
"AB is the diameter of a circle with centre O. C and D are two points on the circle on either side of AB, such that $$\angle CAB = 52^{\circ}$$ and $$\angle ABD = 47^{\circ}$$. What is the difference (in degrees) between the measures of $$\angle$$ CAD and $$\angle$$ CBD?",10,25,15,20,2022,H,21st April Shift 2,A,Geometry,"Circles,Chords & Tangents"
Simplify $$\left[\left(5\frac{1}{4}\div3\frac{1}{2}\times\frac{5}{12}\right)-\frac{3}{16}\right]\div \left(3\frac{4}{7}\div\frac{5}{14} of 6\frac{2}{3}\right)$$  of $$1\frac{1}{3}$$,$$\frac{7}{32}$$,$$\frac{3}{32}$$,$$\frac{5}{32}$$,$$\frac{17}{32}$$,2022,M,21st April Shift 2,A,Algebra,Identities
"A shopkeeper marks an article $$x$$% above the cost price and sells it by allowing 30% discount on the marked price. If there is a loss of 4.8%, then what is the value of $$x$$?",36,40,35,30,2022,H,21st April Shift 2,A,Arithmetic,Discount
"What is the sum of the numbers between 400 and 500 such that when they are divided by 6, 12 and 16, it leaves no remainder?",912,1024,960,480,2022,E,21st April Shift 2,A,Arithmetic,Divisibility & Remainder
"A tyre has two punctures. The first puncture alone would have made the tyre flat in 45 minutes, and the second puncture alone would have done it in 90 minutes. If air leaks out at a constant rate, then how long (in minutes) does it take for both the punctures together to make the tyre flat?",30,45,15,40,2022,M,21st April Shift 2,A,Arithmetic,"Speed, Time & Distance"
A ladder 18 m long rests against a wall so that the angle between the ladder and the wall is $$30^{\circ}$$. How far (in m) is the base of the ladder from the wall?,9,$$9\sqrt{3}$$,18,$$18\sqrt{3}$$,2022,E,21st April Shift 2,A,Trigonometry,Height & Distance
